"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"49","Sunday 29th September 2019 08:52","352","9324","15519","443","77.04","136937","22604.68","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"50","Saturday 28th September 2019 22:59","225","1651","3194","64","18.28","16487","4710.56","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"51","Saturday 28th September 2019 12:47","297","5129","8038","190","38","83606","15292.8","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"52","Saturday 28th September 2019 07:42","197","2960","7858","102","31.4","39837","11382.16","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"53","Friday 27th September 2019 21:48","131","783","1338","1","0.44","8091","3147.12","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"54","Friday 27th September 2019 18:48","146","1070","5972","-18","-7.2","16925","6860.4","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"55","Friday 27th September 2019 15:41","168","3808","9422","65","23.64","41237","14995.28","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"56","Friday 27th September 2019 11:24","155","1675","3017","-7","-3.12","4333","6555.56","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"57","Friday 27th September 2019 10:27","62","476","562","-22","-29.32","9753","13004","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"58","Friday 27th September 2019 10:00","29","372","471","-2","-4","5420","10840","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
